date,season,home_team,away_team,b365h,b365d,b365a,result,matchweek
2007-09-23,2008,Newcastle,West Ham,0.479883170388776,0.2735419635706986,0.2465748660405254,H,7
2007-09-29,2008,Birmingham,Man United,0.13608426474451976,0.22828673353496198,0.6356290017205182,A,8
2007-09-29,2008,Chelsea,Fulham,0.754036585696643,0.17697173445320036,0.06899167985015654,D,8
2007-09-29,2008,Derby,Bolton,0.3503290943735221,0.28803604679395456,0.3616348588325233,D,8
2007-09-29,2008,Man City,Newcastle,0.42599778290945406,0.28930647815514554,0.2846957389354004,H,8
2007-09-29,2008,Portsmouth,Reading,0.5627079969694894,0.2732168889321035,0.16407511409840705,H,8
2007-09-29,2008,Sunderland,Blackburn,0.34586281768940097,0.29024131969493905,0.36389586261566015,A,8
2007-09-29,2008,West Ham,Arsenal,0.2046244884369916,0.2667408783161637,0.5286346332468448,A,8
2007-09-29,2008,Wigan,Liverpool,0.1374015643138259,0.2427733524918614,0.6198250831943126,A,8
2007-09-30,2008,Everton,Middlesbrough,0.5386138115050618,0.26745874129300495,0.19392744720193317,H,8
2007-10-01,2008,Tottenham,Aston Villa,0.5048852811453827,0.2850794503890333,0.21003526846558404,D,8
2007-10-06,2008,Aston Villa,West Ham,0.5284109127986736,0.2586992338365661,0.2128898533647603,H,9
2007-10-06,2008,Man United,Wigan,0.846077802930565,0.12148940786755405,0.032432789201881106,H,9
2007-10-07,2008,Arsenal,Sunderland,0.846964608092679,0.12310548416335536,0.02992990774396563,H,9
2007-10-07,2008,Blackburn,Birmingham,0.5860560147029892,0.24819950020342585,0.16574448509358494,H,9
2007-10-07,2008,Bolton,Chelsea,0.18108709697346229,0.25666101549062376,0.5622518875359142,A,9
2007-10-07,2008,Fulham,Portsmouth,0.3638958626156601,0.290241319694939,0.3458628176894009,A,9
2007-10-07,2008,Liverpool,Tottenham,0.6356290017205182,0.22828673353496198,0.13608426474451976,D,9
2007-10-07,2008,Man City,Middlesbrough,0.5824866696085791,0.2551423175398523,0.16237101285156855,H,9
2007-10-07,2008,Newcastle,Everton,0.4572182371506965,0.2838364474104832,0.2589453154388204,H,9
2007-10-07,2008,Reading,Derby,0.5622518875359142,0.25666101549062376,0.18108709697346229,H,9
2007-10-20,2008,Arsenal,Bolton,0.7839725270819032,0.1638792272970251,0.05214824562107166,H,11
2007-10-20,2008,Aston Villa,Man United,0.20414436957930138,0.2584137648086029,0.5374418656120957,A,11
2007-10-20,2008,Blackburn,Reading,0.5701422304662107,0.26540080083907974,0.1644569686947094,H,11
2007-10-20,2008,Everton,Liverpool,0.2589453154388204,0.2838364474104832,0.4572182371506965,A,11
2007-10-20,2008,Fulham,Derby,0.5626984232311745,0.2649386546486778,0.17236292212014775,D,11
2007-10-20,2008,Man City,Birmingham,0.6185356058716445,0.2555829694167122,0.12588142471164332,H,11
2007-10-20,2008,Middlesbrough,Chelsea,0.1497896041297125,0.24647017493226628,0.6037402209380212,A,11
2007-10-20,2008,Wigan,Portsmouth,0.30515669760507597,0.2903982961316442,0.4044450062632797,A,11
2007-10-21,2008,West Ham,Sunderland,0.5077183971253014,0.2880237171837571,0.2042578856909416,H,11
2007-10-22,2008,Newcastle,Tottenham,0.40240293110028036,0.28378953235686877,0.3138075365428509,H,11
2007-10-27,2008,Birmingham,Wigan,0.4572182371506965,0.2838364474104832,0.2589453154388204,H,12
2007-10-27,2008,Chelsea,Man City,0.648153117903773,0.22705022598455313,0.12479665611167404,H,12
2007-10-27,2008,Man United,Middlesbrough,0.8334514810396119,0.12741997448844095,0.03912854447194722,H,12
2007-10-27,2008,Portsmouth,West Ham,0.5386138115050618,0.26745874129300495,0.19392744720193317,D,12
2007-10-27,2008,Reading,Newcastle,0.33970019958537684,0.28422466358339127,0.376075136831232,H,12
2007-10-27,2008,Sunderland,Fulham,0.4572182371506965,0.2838364474104832,0.2589453154388204,D,12
2007-10-28,2008,Bolton,Aston Villa,0.3518781361317296,0.2849364977774991,0.3631853660907714,D,12
2007-10-28,2008,Derby,Everton,0.2589453154388204,0.2838364474104832,0.4572182371506965,A,12
2007-10-28,2008,Liverpool,Arsenal,0.3782544874361423,0.2863451072071551,0.3354004053567025,D,12
2007-10-28,2008,Tottenham,Blackburn,0.43572449178427997,0.27543251977139194,0.2888429884443281,A,12
2007-11-03,2008,Arsenal,Man United,0.381266265290417,0.3040298408229632,0.31470389388661973,D,13
2007-11-03,2008,Aston Villa,Derby,0.6972326400785319,0.207875424062656,0.09489193585881196,H,13
2007-11-03,2008,Blackburn,Liverpool,0.3138075365428509,0.28378953235686877,0.40240293110028036,D,13
2007-11-03,2008,Everton,Birmingham,0.5823997020617342,0.26282611946718565,0.15477417847108027,H,13
2007-11-03,2008,Fulham,Reading,0.43572449178427997,0.2888429884443281,0.27543251977139194,H,13
2007-11-03,2008,Middlesbrough,Tottenham,0.31404023060539393,0.2886267900510542,0.3973329793435517,D,13
2007-11-03,2008,Newcastle,Portsmouth,0.4572182371506965,0.2838364474104832,0.2589453154388204,A,13
2007-11-03,2008,Wigan,Chelsea,0.09489193585881196,0.207875424062656,0.6972326400785319,A,13
2007-11-04,2008,West Ham,Bolton,0.5064242226108537,0.2820753886681423,0.21150038872100402,D,13
2007-11-05,2008,Man City,Sunderland,0.6037402209380212,0.24647017493226633,0.14978960412971257,H,13
2007-11-10,2008,Derby,West Ham,0.2888429884443281,0.27543251977139194,0.43572449178427997,A,14
2007-11-10,2008,Liverpool,Fulham,0.7941141140548125,0.15476589384152767,0.051119992103659834,H,14
2007-11-10,2008,Sunderland,Newcastle,0.3296320910546594,0.28919253318466714,0.38117537576067356,D,14
2007-11-11,2008,Birmingham,Aston Villa,0.3525279966394501,0.29494400672109994,0.3525279966394501,A,14
2007-11-11,2008,Bolton,Middlesbrough,0.45755029950619924,0.27536725441487186,0.26708244607892884,D,14
2007-11-11,2008,Chelsea,Everton,0.7367692744846633,0.17834942271832888,0.08488130279700774,D,14
2007-11-11,2008,Man United,Blackburn,0.7256348069168289,0.18425092196356935,0.09011427111960178,H,14
2007-11-11,2008,Portsmouth,Man City,0.4810348266208818,0.2747013671327314,0.24426380624638677,D,14
2007-11-11,2008,Tottenham,Wigan,0.6768323383134499,0.21520101444053555,0.10796664724601464,H,14
2007-11-12,2008,Reading,Arsenal,0.12479665611167406,0.22705022598455316,0.6481531179037728,A,14
2007-11-24,2008,Arsenal,Wigan,0.8463548308029534,0.11224148863143482,0.041403680565611854,H,16
2007-11-24,2008,Birmingham,Portsmouth,0.2957214631079218,0.28634179816549,0.4179367387265882,A,16
2007-11-24,2008,Bolton,Man United,0.09489193585881196,0.207875424062656,0.6972326400785319,H,16
2007-11-24,2008,Derby,Chelsea,0.05244412353307283,0.14219943077926328,0.8053564456876638,A,16
2007-11-24,2008,Everton,Sunderland,0.6041624593071517,0.2578494460485461,0.1379880946443022,H,16
2007-11-24,2008,Man City,Reading,0.6187098976568116,0.24491145678828383,0.13637864555490462,H,16
2007-11-24,2008,Middlesbrough,Aston Villa,0.3448765835629463,0.28927724601945193,0.3658461704176016,A,16
2007-11-24,2008,Newcastle,Liverpool,0.24139346637182307,0.28051641564221985,0.47809011798595713,A,16
2007-11-25,2008,Fulham,Blackburn,0.3296320910546594,0.28919253318466714,0.38117537576067356,D,16
2007-11-25,2008,West Ham,Tottenham,0.3448765835629463,0.28927724601945193,0.3658461704176016,D,16
2007-11-28,2008,Blackburn,Aston Villa,0.43572449178427997,0.2888429884443281,0.27543251977139194,A,16
2007-12-01,2008,Aston Villa,Arsenal,0.23271195903623695,0.2848928740706524,0.4823951668931108,A,17
2007-12-01,2008,Blackburn,Newcastle,0.507038398366295,0.2739219700783691,0.21903963155533596,H,17
2007-12-01,2008,Chelsea,West Ham,0.7837669621394383,0.1554595449543927,0.06077349290616902,H,17
2007-12-01,2008,Portsmouth,Everton,0.43572449178427997,0.2888429884443281,0.27543251977139194,D,17
2007-12-01,2008,Reading,Middlesbrough,0.4823951668931107,0.28489287407065234,0.2327119590362369,D,17
2007-12-01,2008,Sunderland,Derby,0.5824866696085791,0.2551423175398523,0.16237101285156855,H,17
2007-12-01,2008,Wigan,Man City,0.31404023060539393,0.2886267900510542,0.3973329793435517,D,17
2007-12-02,2008,Liverpool,Bolton,0.7646416348875906,0.17383794266375432,0.06152042244865506,H,17
2007-12-02,2008,Tottenham,Birmingham,0.6768323383134499,0.21520101444053555,0.10796664724601464,A,17
2007-12-03,2008,Man United,Fulham,0.8177314934871016,0.13841536657424464,0.043853139938653855,H,17
2007-12-05,2008,Newcastle,Arsenal,0.1497896041297125,0.24647017493226628,0.6037402209380212,D,17
2007-12-08,2008,Aston Villa,Portsmouth,0.4572182371506965,0.2838364474104832,0.2589453154388204,A,18
2007-12-08,2008,Chelsea,Sunderland,0.846077802930565,0.12148940786755405,0.032432789201881106,H,18
2007-12-08,2008,Everton,Fulham,0.6187098976568116,0.24491145678828383,0.13637864555490462,H,18
2007-12-08,2008,Man United,Derby,0.8879908666960192,0.08750177842971256,0.024507354874268222,H,18
